"ID","Exited"
2651,"Yes"
2000,"No"
464,"Yes"
467,"Yes"
1331,"Yes"
927,"Yes"
1837,"Yes"
557,"Yes"
727,"No"
1893,"No"
2412,"No"
1960,"No"
1963,"Yes"
2867,"Yes"
2060,"No"
231,"Yes"
2368,"Yes"
113,"Yes"
1333,"Yes"
2689,"No"
1205,"Yes"
1754,"Yes"
2429,"No"
859,"No"
2855,"No"
2176,"Yes"
694,"No"
298,"Yes"
2917,"Yes"
397,"Yes"
2135,"Yes"
1066,"Yes"
1408,"No"
696,"Yes"
539,"Yes"
1655,"No"
1394,"No"
2746,"Yes"
2713,"Yes"
2383,"No"
1782,"No"
116,"No"
561,"No"
1875,"Yes"
2923,"Yes"
2458,"Yes"
1826,"Yes"
2546,"No"
49,"Yes"
91,"No"
2953,"No"
1347,"Yes"
306,"Yes"
519,"No"
1514,"Yes"
1521,"Yes"
1911,"Yes"
2848,"Yes"
2702,"No"
204,"Yes"
157,"Yes"
61,"No"
1344,"Yes"
1153,"No"
504,"Yes"
2205,"Yes"
1131,"Yes"
1319,"No"
2207,"No"
1858,"No"
953,"No"
2068,"No"
1839,"Yes"
1921,"Yes"
2418,"No"
946,"Yes"
2270,"No"
403,"No"
1980,"No"
923,"Yes"
756,"No"
2696,"No"
2092,"No"
191,"Yes"
4,"No"
77,"Yes"
2786,"No"
277,"Yes"
97,"No"
2866,"No"
911,"Yes"
1022,"No"
90,"Yes"
2400,"Yes"
2384,"No"
961,"No"
2392,"No"
2623,"No"
2322,"Yes"
2553,"Yes"
2381,"No"
1908,"Yes"
2537,"No"
250,"Yes"
2452,"Yes"
1675,"Yes"
1099,"Yes"
331,"Yes"
427,"No"
2960,"Yes"
1165,"No"
2869,"Yes"
914,"No"
717,"No"
38,"No"
2330,"Yes"
2199,"Yes"
190,"Yes"
751,"Yes"
448,"Yes"
2267,"Yes"
2282,"No"
2196,"No"
2609,"No"
37,"Yes"
2038,"Yes"
2818,"No"
1602,"No"
896,"Yes"
910,"Yes"
2755,"No"
2586,"No"
1419,"No"
980,"No"
1353,"No"
1447,"No"
273,"Yes"
2151,"Yes"
820,"Yes"
1167,"No"
1459,"Yes"
1316,"No"
1050,"Yes"
785,"No"
702,"No"
1318,"Yes"
391,"Yes"
2793,"Yes"
653,"No"
774,"Yes"
1634,"No"
2428,"No"
2815,"No"
1576,"No"
2425,"No"
638,"Yes"
2169,"No"
2811,"No"
2065,"No"
1156,"No"
276,"Yes"
2622,"No"
1250,"No"
1638,"Yes"
2627,"No"
1268,"Yes"
1580,"Yes"
1811,"Yes"
1087,"Yes"
364,"Yes"
2043,"Yes"
1753,"No"
733,"Yes"
315,"No"
2055,"Yes"
2545,"Yes"
2403,"No"
2361,"No"
2321,"Yes"
2994,"Yes"
2078,"Yes"
1823,"No"
1352,"No"
1806,"Yes"
1270,"No"
1093,"No"
2261,"No"
1191,"No"
3,"No"
605,"No"
2123,"No"
2404,"No"
151,"Yes"
494,"Yes"
2565,"No"
2402,"Yes"
491,"Yes"
1665,"Yes"
292,"No"
2691,"Yes"
130,"No"
2447,"Yes"
763,"No"
2355,"No"
1468,"No"
604,"Yes"
2557,"No"
1372,"No"
2464,"No"
2137,"No"
490,"No"
2124,"No"
2752,"No"
2679,"No"
626,"No"
752,"No"
1391,"No"
1659,"No"
1441,"No"
1231,"No"
484,"No"
2938,"Yes"
2966,"No"
2728,"Yes"
1649,"Yes"
913,"No"
808,"No"
1816,"No"
534,"No"
2167,"No"
2441,"No"
2288,"Yes"
1052,"No"
1715,"No"
169,"No"
2409,"No"
698,"No"
935,"No"
1161,"No"
2875,"No"
1662,"Yes"
2530,"No"
622,"No"
1146,"No"
1406,"Yes"
1,"No"
443,"Yes"
945,"No"
2129,"No"
570,"Yes"
416,"No"
2523,"Yes"
1346,"No"
1709,"Yes"
343,"No"
977,"No"
2701,"Yes"
1726,"No"
2457,"No"
1658,"No"
1008,"No"
861,"No"
1289,"No"
2366,"No"
2304,"No"
1109,"Yes"
1149,"No"
1442,"No"
652,"Yes"
944,"Yes"
2769,"No"
1269,"No"
1196,"No"
1163,"No"
2459,"Yes"
1913,"Yes"
2660,"No"
1571,"Yes"
2630,"No"
806,"Yes"
414,"Yes"
1881,"No"
1382,"No"
2639,"No"
925,"Yes"
1028,"Yes"
632,"Yes"
1179,"Yes"
316,"No"
1456,"Yes"
529,"Yes"
1585,"Yes"
722,"No"
338,"No"
56,"Yes"
2393,"Yes"
208,"No"
166,"No"
101,"Yes"
885,"Yes"
888,"Yes"
1699,"No"
678,"No"
2950,"No"
2259,"No"
205,"Yes"
353,"No"
1212,"Yes"
2993,"No"
1479,"Yes"
1707,"No"
613,"No"
998,"No"
2862,"Yes"
2860,"No"
636,"Yes"
1954,"Yes"
2789,"Yes"
2066,"No"
714,"No"
1922,"Yes"
2339,"No"
2850,"No"
482,"No"
2600,"Yes"
2644,"No"
239,"Yes"
2002,"Yes"
473,"Yes"
965,"No"
179,"No"
887,"Yes"
576,"No"
599,"Yes"
2893,"No"
1236,"No"
1528,"No"
1684,"Yes"
1798,"Yes"
1024,"No"
1117,"No"
1292,"No"
2803,"No"
1089,"No"
1687,"Yes"
2513,"Yes"
718,"No"
1332,"Yes"
732,"No"
1773,"Yes"
734,"Yes"
1740,"No"
2997,"No"
2635,"Yes"
850,"No"
2110,"No"
1928,"Yes"
2605,"Yes"
2316,"No"
2256,"Yes"
1852,"Yes"
1664,"Yes"
395,"No"
1305,"Yes"
618,"No"
2642,"Yes"
495,"Yes"
2645,"No"
831,"No"
129,"Yes"
731,"No"
384,"No"
646,"No"
2939,"No"
846,"No"
1607,"Yes"
259,"Yes"
2636,"Yes"
1999,"No"
764,"Yes"
2838,"No"
100,"No"
2372,"No"
70,"No"
1989,"No"
1545,"No"
2863,"Yes"
1952,"Yes"
1377,"No"
2362,"No"
739,"Yes"
1641,"No"
515,"Yes"
1861,"No"
1014,"No"
216,"Yes"
1817,"No"
542,"No"
78,"No"
2870,"Yes"
852,"Yes"
2474,"No"
1535,"No"
1039,"Yes"
2831,"No"
2244,"Yes"
1559,"Yes"
386,"No"
2894,"No"
1685,"Yes"
845,"No"
672,"Yes"
1416,"No"
654,"Yes"
214,"Yes"
1287,"No"
788,"No"
2460,"No"
2509,"No"
723,"No"
2986,"Yes"
2417,"No"
1139,"No"
2549,"No"
221,"Yes"
1174,"No"
497,"No"
2872,"Yes"
2723,"Yes"
2329,"No"
552,"No"
1647,"Yes"
2374,"No"
1739,"No"
22,"No"
1243,"Yes"
2181,"No"
2016,"No"
2520,"No"
1176,"No"
509,"No"
2487,"No"
2147,"Yes"
890,"No"
182,"Yes"
2590,"No"
697,"No"
799,"Yes"
136,"No"
524,"No"
2737,"No"
1906,"Yes"
2160,"No"
2264,"No"
83,"Yes"
2710,"Yes"
1942,"No"
2854,"Yes"
2654,"No"
1628,"Yes"
2581,"Yes"
2387,"No"
2611,"No"
1112,"No"
2954,"No"
44,"No"
942,"No"
2958,"No"
2379,"No"
1114,"Yes"
2528,"No"
2912,"Yes"
1517,"No"
2602,"Yes"
1642,"No"
2375,"Yes"
1343,"Yes"
1856,"No"
957,"No"
728,"No"
879,"No"
1027,"Yes"
1914,"No"
1746,"No"
2299,"No"
893,"Yes"
404,"No"
547,"No"
1975,"Yes"
995,"No"
1472,"No"
798,"Yes"
1020,"No"
1475,"No"
1600,"No"
1769,"No"
2922,"No"
2940,"No"
373,"No"
2536,"Yes"
2415,"Yes"
1846,"No"
2309,"No"
2655,"Yes"
1994,"No"
1211,"No"
782,"No"
1682,"No"
884,"No"
18,"No"
2453,"Yes"
2659,"No"
1532,"No"
894,"Yes"
1375,"No"
366,"No"
287,"Yes"
1527,"Yes"
1583,"No"
1296,"No"
2658,"Yes"
466,"No"
1853,"No"
2035,"Yes"
1208,"No"
969,"No"
1796,"No"
1177,"Yes"
1043,"No"
667,"No"
2045,"Yes"
2237,"No"
1833,"No"
1075,"Yes"
2992,"No"
2661,"No"
1609,"No"
410,"No"
1471,"No"
1674,"No"
2340,"No"
68,"No"
2352,"Yes"
1201,"Yes"
2664,"No"
2711,"No"
773,"Yes"
2589,"Yes"
34,"Yes"
631,"Yes"
684,"No"
2226,"No"
361,"Yes"
608,"No"
2748,"No"
2296,"Yes"
2570,"No"
1686,"No"
2676,"Yes"
1519,"No"
1267,"No"
1467,"Yes"
1016,"Yes"
1784,"No"
1398,"No"
1542,"No"
127,"No"
1242,"No"
2214,"No"
2350,"Yes"
907,"Yes"
1283,"No"
740,"No"
337,"Yes"
2534,"Yes"
2929,"No"
855,"No"
857,"Yes"
1210,"No"
470,"No"
1071,"Yes"
1680,"No"
2394,"No"
1548,"No"
1426,"Yes"
1834,"No"
2683,"Yes"
978,"Yes"
2253,"Yes"
1240,"No"
1949,"No"
2242,"Yes"
630,"No"
829,"No"
2765,"Yes"
382,"Yes"
1582,"No"
1637,"Yes"
516,"No"
132,"Yes"
1144,"No"
307,"No"
841,"No"
2386,"No"
2217,"Yes"
356,"No"
1350,"No"
1865,"Yes"
1315,"Yes"
2353,"No"
66,"Yes"
308,"No"
597,"Yes"
2027,"No"
213,"Yes"
2245,"No"
1026,"No"
1598,"No"
88,"No"
2957,"No"
1828,"Yes"
1932,"No"
575,"Yes"
207,"No"
1900,"No"
1404,"Yes"
1338,"No"
813,"No"
2904,"No"
2569,"Yes"
2241,"Yes"
224,"Yes"
726,"No"
2895,"No"
1373,"No"
442,"No"
431,"Yes"
517,"No"
1321,"No"
294,"No"
903,"No"
2230,"No"
1667,"No"
1293,"Yes"
1155,"No"
325,"No"
746,"Yes"
2004,"No"
274,"Yes"
915,"Yes"
413,"No"
573,"Yes"
1090,"Yes"
1335,"No"
1427,"Yes"
1541,"Yes"
2511,"No"
137,"No"
970,"No"
1402,"Yes"
2784,"No"
1088,"No"
74,"No"
1640,"No"
2115,"No"
425,"No"
1889,"No"
424,"No"
2018,"No"
2144,"No"
203,"No"
1101,"Yes"
2839,"No"
898,"No"
1241,"No"
2161,"No"
1537,"No"
856,"No"
51,"No"
1925,"No"
620,"Yes"
1507,"No"
2164,"Yes"
352,"Yes"
2080,"No"
1051,"No"
186,"No"
1013,"No"
271,"Yes"
25,"No"
1029,"No"
2779,"No"
426,"No"
2331,"No"
1365,"Yes"
952,"No"
469,"No"
2034,"Yes"
2517,"No"
628,"No"
1760,"No"
2096,"Yes"
1716,"No"
1741,"No"
1403,"No"
2598,"Yes"
873,"No"
2540,"No"
649,"No"
2751,"Yes"
1132,"Yes"
1945,"Yes"
1374,"No"
1737,"No"
2946,"Yes"
419,"Yes"
1992,"No"
637,"Yes"
2716,"No"
1708,"No"
2233,"No"
230,"No"
1700,"Yes"
2408,"Yes"
2470,"Yes"
2349,"Yes"
233,"No"
1084,"No"
2837,"No"
2564,"No"
2694,"Yes"
520,"Yes"
2680,"No"
1111,"Yes"
2219,"No"
1909,"Yes"
502,"Yes"
772,"No"
253,"Yes"
1121,"No"
1761,"No"
1793,"Yes"
900,"No"
839,"No"
2059,"No"
1854,"No"
2071,"Yes"
2571,"No"
673,"Yes"
1168,"Yes"
931,"Yes"
2688,"Yes"
1007,"Yes"
211,"No"
655,"No"
2062,"Yes"
2552,"No"
2195,"No"
675,"No"
458,"No"
1876,"Yes"
2603,"No"
2047,"No"
1691,"No"
2768,"Yes"
584,"Yes"
2822,"Yes"
2578,"Yes"
2391,"Yes"
2058,"No"
1987,"No"
2675,"No"
27,"No"
974,"No"
578,"No"
2432,"No"
1978,"Yes"
2729,"Yes"
385,"No"
2155,"No"
2883,"No"
1538,"Yes"
908,"No"
2281,"Yes"
1719,"No"
1498,"Yes"
629,"No"
1775,"No"
2924,"No"
1401,"No"
633,"Yes"
2936,"No"
1006,"No"
924,"No"
2842,"Yes"
163,"No"
2584,"Yes"
2211,"No"
392,"Yes"
1959,"Yes"
2157,"Yes"
2294,"Yes"
2999,"Yes"
194,"No"
1891,"No"
2743,"Yes"
651,"No"
1064,"Yes"
1157,"Yes"
1433,"No"
2298,"Yes"
1500,"No"
2003,"No"
2399,"Yes"
2824,"No"
2682,"Yes"
102,"Yes"
138,"Yes"
882,"No"
40,"Yes"
2747,"No"
242,"Yes"
2083,"No"
2082,"Yes"
2796,"No"
340,"Yes"
2529,"Yes"
451,"No"
2843,"Yes"
1063,"No"
661,"Yes"
2825,"Yes"
1929,"Yes"
877,"Yes"
1567,"No"
2739,"Yes"
2213,"Yes"
794,"No"
154,"Yes"
2258,"Yes"
1417,"Yes"
1824,"No"
2422,"No"
462,"No"
2338,"No"
2956,"No"
771,"Yes"
627,"No"
1718,"No"
1985,"No"
2373,"Yes"
2524,"No"
1632,"No"
2558,"No"
1072,"Yes"
1810,"Yes"
647,"No"
2462,"No"
2406,"No"
2892,"Yes"
283,"No"
2106,"No"
2359,"No"
2670,"No"
1379,"No"
225,"Yes"
2897,"Yes"
1690,"No"
1851,"Yes"
2851,"No"
1499,"Yes"
2965,"No"
973,"No"
569,"No"
92,"Yes"
1107,"No"
619,"Yes"
1366,"No"
2354,"No"
342,"Yes"
2551,"No"
280,"No"
2823,"Yes"
290,"No"
1223,"No"
2733,"No"
2735,"No"
2315,"Yes"
2792,"Yes"
1838,"No"
2715,"No"
1702,"No"
1276,"No"
1574,"Yes"
1355,"No"
541,"No"
1880,"No"
972,"No"
556,"Yes"
1656,"No"
1046,"Yes"
227,"Yes"
26,"Yes"
2108,"No"
2284,"No"
46,"No"
1772,"Yes"
1964,"No"
2506,"Yes"
2840,"No"
525,"Yes"
2182,"Yes"
2976,"Yes"
2575,"Yes"
2930,"No"
107,"No"
983,"No"
422,"Yes"
2812,"No"
1065,"No"
1481,"No"
10,"No"
916,"Yes"
568,"Yes"
2419,"No"
1827,"Yes"
1771,"Yes"
1734,"Yes"
293,"No"
2014,"Yes"
975,"No"
2099,"No"
1249,"No"
1304,"No"
1330,"No"
217,"Yes"
67,"No"
2541,"No"
2009,"Yes"
501,"Yes"
1300,"No"
2880,"Yes"
234,"No"
994,"No"
1725,"Yes"
780,"No"
2188,"Yes"
1522,"No"
1593,"No"
1186,"No"
421,"Yes"
1094,"No"
87,"Yes"
1802,"No"
269,"No"
826,"Yes"
164,"No"
2494,"Yes"
1681,"Yes"
1529,"No"
2816,"Yes"
447,"Yes"
1584,"No"
160,"No"
1415,"No"
1799,"No"
82,"No"
941,"Yes"
383,"Yes"
2484,"No"
658,"Yes"
1870,"No"
2423,"No"
430,"No"
1317,"No"
260,"No"
959,"No"
1568,"No"
376,"Yes"
1145,"Yes"
2084,"Yes"
1866,"No"
1887,"No"
966,"Yes"
1830,"No"
2197,"No"
2554,"No"
1214,"No"
2500,"No"
2596,"No"
180,"Yes"
1195,"Yes"
2502,"No"
2463,"No"
1279,"No"
328,"Yes"
1588,"No"
1745,"No"
1955,"Yes"
2337,"No"
1803,"No"
2141,"No"
2925,"No"
2005,"No"
1626,"No"
2483,"No"
1872,"Yes"
2861,"No"
2550,"Yes"
707,"No"
1265,"Yes"
2568,"No"
670,"Yes"
41,"No"
721,"No"
2955,"Yes"
1701,"No"
268,"No"
206,"No"
351,"No"
1979,"Yes"
2544,"No"
2577,"No"
118,"Yes"
615,"No"
2493,"No"
2775,"No"
2290,"Yes"
2246,"No"
1930,"No"
1151,"No"
1147,"Yes"
1777,"No"
1766,"No"
2647,"No"
2648,"No"
1037,"No"
2580,"No"
16,"Yes"
1329,"No"
275,"Yes"
2948,"No"
1234,"No"
1570,"Yes"
2876,"No"
1209,"Yes"
1119,"Yes"
1815,"No"
2271,"Yes"
821,"No"
895,"No"
937,"No"
115,"No"
1256,"No"
917,"No"
2614,"No"
2482,"Yes"
1757,"Yes"
1378,"No"
1972,"No"
1630,"No"
2102,"Yes"
1368,"No"
2121,"Yes"
354,"Yes"
2646,"No"
1947,"Yes"
2095,"Yes"
1044,"Yes"
2833,"No"
2604,"No"
341,"No"
1759,"Yes"
1883,"No"
1516,"No"
1676,"Yes"
2426,"Yes"
1974,"No"
1376,"No"
1494,"No"
938,"No"
2163,"Yes"
2145,"Yes"
1414,"Yes"
7,"No"
1259,"No"
1159,"No"
1934,"No"
660,"No"
2782,"No"
1502,"Yes"
1566,"No"
804,"No"
2371,"Yes"
872,"Yes"
2376,"Yes"
685,"No"
2036,"No"
2961,"No"
2063,"No"
1814,"Yes"
2579,"Yes"
2770,"No"
2138,"No"
282,"Yes"
1624,"No"
909,"Yes"
2265,"No"
2753,"No"
2446,"Yes"
1095,"No"
1752,"No"
1990,"No"
249,"No"
444,"No"
2721,"Yes"
876,"No"
2973,"No"
901,"Yes"
2085,"Yes"
1898,"No"
1253,"No"
1669,"Yes"
1328,"No"
1692,"Yes"
313,"No"
989,"No"
1306,"No"
369,"Yes"
2947,"No"
262,"Yes"
2015,"No"
2977,"No"
2507,"No"
1722,"Yes"
2232,"No"
1723,"No"
1451,"Yes"
527,"No"
2103,"No"
2295,"Yes"
435,"Yes"
5,"Yes"
439,"No"
1080,"No"
258,"No"
1476,"Yes"
2198,"No"
784,"No"
1678,"No"
2621,"No"
326,"Yes"
1336,"Yes"
1961,"Yes"
1086,"No"
2427,"No"
156,"No"
743,"Yes"
1005,"No"
596,"No"
1202,"Yes"
912,"No"
24,"No"
2624,"Yes"
357,"Yes"
1461,"No"
2140,"Yes"
1257,"Yes"
333,"No"
1561,"Yes"
185,"Yes"
2286,"No"
2202,"Yes"
2989,"No"
263,"Yes"
2380,"Yes"
1263,"Yes"
954,"Yes"
94,"No"
1036,"Yes"
1345,"Yes"
593,"Yes"
1437,"No"
1855,"No"
2476,"No"
2223,"Yes"
2052,"No"
2918,"No"
2757,"Yes"
2968,"No"
986,"No"
2503,"Yes"
2466,"Yes"
662,"Yes"
1820,"No"
2543,"No"
1424,"No"
1060,"No"
86,"No"
1170,"No"
1125,"No"
1927,"No"
2791,"No"
161,"Yes"
2899,"No"
1160,"No"
2266,"No"
2044,"No"
2625,"No"
2158,"Yes"
2172,"Yes"
926,"No"
2194,"No"
1787,"No"
1199,"No"
2911,"Yes"
640,"Yes"
1577,"Yes"
2734,"No"
488,"No"
2133,"Yes"
1916,"No"
1885,"No"
1695,"Yes"
2486,"Yes"
985,"No"
962,"No"
2175,"Yes"
2,"No"
1553,"No"
2206,"No"
1254,"No"
1788,"No"
1193,"No"
725,"No"
1274,"No"
173,"No"
949,"No"
1175,"Yes"
2931,"Yes"
2868,"No"
1194,"Yes"
121,"Yes"
1103,"No"
2118,"No"
1613,"No"
1286,"Yes"
824,"No"
1727,"No"
1970,"Yes"
286,"No"
2116,"No"
1603,"Yes"
2454,"No"
1967,"No"
1703,"Yes"
2705,"No"
2501,"Yes"
1496,"No"
1150,"No"
272,"No"
1774,"Yes"
2332,"No"
1767,"Yes"
2319,"No"
1871,"No"
2442,"No"
2465,"No"
554,"No"
1604,"No"
437,"Yes"
1418,"Yes"
2910,"Yes"
406,"No"
1273,"Yes"
2348,"No"
498,"No"
823,"Yes"
200,"No"
471,"No"
1842,"Yes"
1864,"Yes"
215,"No"
1539,"No"
1434,"Yes"
2830,"No"
2628,"No"
1443,"Yes"
612,"Yes"
1221,"Yes"
2704,"No"
362,"No"
549,"Yes"
2113,"Yes"
1953,"Yes"
2617,"Yes"
109,"No"
2794,"No"
713,"No"
2389,"Yes"
1285,"Yes"
809,"No"
1122,"No"
2722,"Yes"
2313,"Yes"
1135,"No"
128,"No"
899,"Yes"
783,"Yes"
1262,"Yes"
1034,"Yes"
775,"No"
1946,"Yes"
2385,"Yes"
2526,"Yes"
1614,"Yes"
1645,"Yes"
1825,"Yes"
2430,"No"
2608,"Yes"
603,"Yes"
1136,"Yes"
530,"No"
2927,"Yes"
2236,"No"
2874,"No"
753,"No"
776,"Yes"
2514,"No"
2450,"No"
1950,"No"
105,"No"
2731,"Yes"
1238,"No"
59,"No"
2305,"No"
665,"No"
2697,"No"
1290,"No"
368,"Yes"
1829,"No"
1171,"No"
611,"Yes"
528,"No"
2076,"No"
2827,"No"
2515,"No"
2081,"No"
2433,"No"
2130,"No"
2724,"No"
264,"No"
2109,"No"
2388,"No"
456,"No"
2516,"No"
2612,"No"
616,"No"
922,"Yes"
2347,"No"
210,"Yes"
2878,"No"
2795,"No"
2042,"Yes"
2434,"Yes"
1785,"Yes"
1464,"Yes"
2407,"Yes"
2959,"No"
1595,"No"
2187,"Yes"
1850,"No"
1409,"No"
80,"Yes"
1405,"No"
1252,"No"
2637,"No"
738,"Yes"
2967,"No"
1983,"Yes"
1868,"No"
188,"No"
1291,"No"
339,"Yes"
2170,"No"
1599,"Yes"
2072,"Yes"
305,"No"
1779,"Yes"
1841,"No"
1298,"No"
1229,"Yes"
1399,"No"
457,"No"
2826,"No"
2888,"Yes"
1062,"No"
241,"Yes"
1477,"No"
1116,"Yes"
1688,"No"
551,"Yes"
1549,"No"
1178,"No"
1497,"Yes"
1805,"Yes"
2800,"No"
1004,"Yes"
1478,"Yes"
842,"No"
8,"No"
1407,"No"
704,"No"
2333,"No"
1807,"No"
1465,"No"
2560,"No"
2345,"No"
1962,"No"
1348,"Yes"
1049,"Yes"
1303,"No"
1204,"No"
1941,"No"
511,"No"
2497,"No"
505,"Yes"
2937,"No"
349,"Yes"
1525,"No"
2356,"No"
15,"Yes"
2401,"Yes"
1721,"Yes"
378,"Yes"
393,"Yes"
1278,"Yes"
1048,"No"
2521,"No"
2773,"Yes"
1633,"No"
832,"No"
400,"No"
150,"Yes"
1534,"No"
711,"No"
566,"No"
1622,"No"
358,"Yes"
512,"Yes"
441,"No"
2467,"No"
2555,"No"
243,"No"
1958,"Yes"
2606,"No"
2709,"No"
1200,"Yes"
2436,"Yes"
2902,"No"
2907,"Yes"
523,"Yes"
1508,"No"
1808,"No"
389,"Yes"
1115,"No"
2365,"No"
992,"No"
2750,"Yes"
2301,"No"
624,"Yes"
2638,"Yes"
904,"No"
1683,"Yes"
956,"Yes"
2152,"Yes"
42,"Yes"
2342,"No"
758,"No"
1011,"No"
1491,"Yes"
2308,"Yes"
943,"No"
1458,"Yes"
1933,"Yes"
521,"No"
2209,"Yes"
920,"No"
2681,"No"
2067,"No"
1453,"Yes"
1035,"Yes"
715,"Yes"
1712,"No"
2508,"No"
2006,"No"
571,"No"
1326,"No"
2981,"No"
1589,"Yes"
2238,"Yes"
1067,"No"
1556,"Yes"
2525,"Yes"
1993,"No"
1104,"Yes"
2548,"No"
531,"Yes"
1260,"Yes"
1182,"Yes"
2742,"No"
371,"No"
438,"No"
1220,"Yes"
394,"No"
1058,"Yes"
1015,"No"
1367,"Yes"
2327,"No"
2234,"Yes"
1791,"Yes"
142,"No"
89,"No"
162,"No"
699,"Yes"
1679,"Yes"
335,"No"
2783,"No"
2667,"No"
2411,"Yes"
558,"No"
2091,"No"
2766,"No"
228,"No"
252,"Yes"
1924,"Yes"
1896,"No"
432,"Yes"
1819,"No"
126,"Yes"
2587,"Yes"
2585,"No"
543,"No"
2485,"Yes"
2049,"Yes"
2285,"No"
1765,"Yes"
1907,"No"
2588,"No"
183,"Yes"
2607,"No"
1736,"No"
1587,"No"
1032,"No"
2859,"No"
2672,"Yes"
2263,"No"
692,"No"
2252,"Yes"
2504,"Yes"
1228,"No"
2499,"No"
2776,"Yes"
500,"Yes"
1660,"No"
170,"Yes"
1918,"No"
1432,"Yes"
708,"Yes"
2626,"Yes"
95,"No"
145,"No"
1698,"No"
1102,"No"
1617,"No"
761,"No"
2134,"Yes"
1421,"No"
2477,"No"
1389,"Yes"
1057,"Yes"
209,"No"
125,"No"
2669,"No"
2325,"No"
2204,"Yes"
585,"Yes"
1073,"No"
2031,"No"
1555,"No"
1079,"Yes"
508,"No"
79,"No"
810,"No"
1610,"No"
2865,"No"
790,"No"
765,"No"
814,"No"
565,"No"
2293,"Yes"
1812,"Yes"
9,"Yes"
483,"Yes"
499,"Yes"
2832,"Yes"
2640,"No"
2370,"No"
314,"No"
360,"No"
648,"Yes"
1158,"Yes"
2097,"No"
1380,"Yes"
2980,"No"
1758,"No"
2531,"Yes"
2720,"Yes"
2056,"Yes"
1420,"No"
1002,"No"
2972,"Yes"
827,"No"
760,"Yes"
261,"No"
641,"No"
2479,"Yes"
407,"Yes"
2665,"Yes"
730,"No"
1849,"No"
2421,"Yes"
2615,"Yes"
2343,"No"
1531,"No"
2900,"Yes"
1473,"No"
1905,"Yes"
1363,"No"
1813,"No"
1668,"No"
2291,"Yes"
30,"No"
2443,"No"
2730,"No"
122,"Yes"
2632,"Yes"
1747,"No"
1216,"Yes"
2643,"No"
245,"Yes"
2518,"Yes"
2126,"Yes"
1804,"No"
474,"No"
1800,"No"
285,"No"
934,"No"
2341,"Yes"
1809,"No"
921,"No"
1288,"Yes"
2952,"No"
2778,"No"
1235,"No"
1361,"Yes"
55,"No"
2618,"No"
229,"Yes"
2268,"No"
1325,"No"
2563,"No"
2225,"Yes"
304,"Yes"
800,"No"
2183,"Yes"
